fold,best_epoch,val_dice_metric,val_miou_metric,val_f1,val_precision,val_recall,val_sensitivity,val_specificity,val_hd95_metric,val_ASD
1,100,0.6228905320167542,0.48432692885398865,0.6948494911193848,0.6722614765167236,0.7190082669258118,0.7190082669258118,0.9693781733512878,60.524925231933594,22.626253128051758
2,86,0.6247308850288391,0.48287245631217957,0.6887130737304688,0.6733149290084839,0.7048319578170776,0.7048319578170776,0.9641314744949341,59.82827377319336,23.923839569091797
3,88,0.6242581009864807,0.48293858766555786,0.6953436136245728,0.6875441074371338,0.7033221125602722,0.7033221125602722,0.966708779335022,63.62067794799805,24.72466468811035
